epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1717.74,1.11,0.75687,1.07836,0.69372,0.62362,0.67511,0.30998,1.72642,0.96124,1.50115,0.000869024,0.000869024,0.000869024
68,1742.61,1.19063,0.78841,1.10579,0.64936,0.60873,0.6334,0.30075,1.75891,0.9733,1.52417,0.000865358,0.000865358,0.000865358
69,1767.45,1.12784,0.77626,1.08024,0.71147,0.61841,0.64764,0.28625,1.75038,0.95124,1.49421,0.000861692,0.000861692,0.000861692
70,1793.78,1.13037,0.71759,1.06046,0.73912,0.63541,0.67635,0.32042,1.75376,0.9816,1.4946,0.000858025,0.000858025,0.000858025
71,1818.85,1.15705,0.74079,1.08484,0.67995,0.66584,0.67212,0.30322,1.77637,1.01543,1.50015,0.000854359,0.000854359,0.000854359
72,1844.99,1.12161,0.73685,1.07127,0.65995,0.6403,0.6285,0.30016,1.79141,1.06577,1.51058,0.000850693,0.000850693,0.000850693
73,1870.46,1.10857,0.70351,1.06507,0.68923,0.63397,0.64664,0.28382,1.79533,0.99033,1.51798,0.000847026,0.000847026,0.000847026
74,1895.77,1.08004,0.71455,1.04531,0.73725,0.63822,0.64463,0.28429,1.78993,0.97859,1.50083,0.00084336,0.00084336,0.00084336
75,1921.15,1.07428,0.73832,1.04324,0.64898,0.58074,0.59239,0.28942,1.82987,0.973,1.52324,0.000839694,0.000839694,0.000839694
76,1946.45,1.08456,0.71208,1.06161,0.59807,0.65689,0.60101,0.28575,1.82271,0.98811,1.52511,0.000836027,0.000836027,0.000836027
77,1971.54,1.06866,0.73581,1.06277,0.74607,0.57105,0.59235,0.28229,1.78151,0.96964,1.50668,0.000832361,0.000832361,0.000832361
78,1996.51,1.05324,0.69753,1.04944,0.63653,0.58963,0.55392,0.27644,1.78142,1.00593,1.51448,0.000828695,0.000828695,0.000828695
79,2021.51,1.07341,0.75028,1.08126,0.76387,0.66342,0.61568,0.29143,1.78667,0.94655,1.55768,0.000825029,0.000825029,0.000825029
